,date,temperature
611,2014-09-26,20.74833333333333
612,2014-09-26,21.176666666666662
613,2014-09-26,22.028333333333336
614,2014-09-26,22.441666666666663
615,2014-09-26,22.175
616,2014-09-26,20.82
617,2014-09-26,18.93166666666667
618,2014-09-26,17.518333333333334
619,2014-09-26,16.406666666666666
620,2014-09-26,15.758333333333333
621,2014-09-26,13.788333333333334
622,2014-09-26,12.821666666666667
623,2014-09-26,12.241666666666667
624,2014-09-27,11.505
625,2014-09-27,10.986666666666666
626,2014-09-27,10.623333333333331
627,2014-09-27,10.375
628,2014-09-27,10.588333333333331
629,2014-09-27,10.336666666666666
630,2014-09-27,11.235
631,2014-09-27,12.981666666666667
632,2014-09-27,15.986666666666666
633,2014-09-27,19.47833333333333
634,2014-09-27,22.543333333333333
635,2014-09-27,24.65833333333333
636,2014-09-27,26.03833333333333
637,2014-09-27,27.093333333333334
638,2014-09-27,27.651666666666667
639,2014-09-27,27.14
640,2014-09-27,26.291666666666668
641,2014-09-27,25.03
642,2014-09-27,23.598333333333333
643,2014-09-27,22.036666666666665
644,2014-09-27,19.80333333333333
645,2014-09-27,18.646666666666665
646,2014-09-27,19.711666666666662
647,2014-09-27,19.975
6624,2015-06-04,16.458333333333332
6625,2015-06-04,16.448333333333334
6626,2015-06-04,16.396666666666665
6627,2015-06-04,15.846666666666666
6628,2015-06-04,15.516666666666666
6629,2015-06-04,16.13
6630,2015-06-04,17.843333333333334
6631,2015-06-04,20.935
6632,2015-06-04,24.215
6633,2015-06-04,27.66333333333333
6634,2015-06-04,29.918333333333333
6635,2015-06-04,31.58666666666667
6636,2015-06-04,32.901666666666664
6637,2015-06-04,34.00666666666667
6638,2015-06-04,34.276666666666664
6639,2015-06-04,33.725
6640,2015-06-04,33.58833333333333
6641,2015-06-04,31.965
6642,2015-06-04,21.81833333333333
6643,2015-06-04,18.36833333333333
6644,2015-06-04,18.13833333333333
6645,2015-06-04,17.525000000000002
6646,2015-06-04,17.328333333333333
6647,2015-06-04,17.368333333333332
6768,2015-06-10,13.67
6769,2015-06-10,13.37
6770,2015-06-10,13.181666666666668
6771,2015-06-10,13.205
6772,2015-06-10,13.305
6773,2015-06-10,13.33
6774,2015-06-10,13.728333333333332
6775,2015-06-10,13.896666666666668
6776,2015-06-10,13.791666666666666
6777,2015-06-10,14.046666666666669
6778,2015-06-10,14.728333333333332
6779,2015-06-10,14.646666666666668
6780,2015-06-10,15.091666666666669
6781,2015-06-10,15.841666666666669
6782,2015-06-10,16.106666666666666
6783,2015-06-10,17.756666666666664
6784,2015-06-10,18.613333333333333
6785,2015-06-10,18.18166666666667
6786,2015-06-10,17.281666666666666
6787,2015-06-10,16.558333333333334
6788,2015-06-10,16.226666666666667
6789,2015-06-10,16.048333333333336
6790,2015-06-10,15.261666666666663
6791,2015-06-10,16.143333333333334
6840,2015-06-13,15.253333333333332
6841,2015-06-13,15.406666666666666
6842,2015-06-13,15.348333333333334
6843,2015-06-13,15.31
6844,2015-06-13,15.086666666666666
6845,2015-06-13,15.288333333333334
6846,2015-06-13,15.586666666666666
6847,2015-06-13,15.875
6848,2015-06-13,16.791666666666668
6849,2015-06-13,17.835
6850,2015-06-13,18.73333333333333
6851,2015-06-13,19.326666666666668
6852,2015-06-13,20.18
6853,2015-06-13,19.80333333333333
6854,2015-06-13,18.441666666666663
6855,2015-06-13,18.291666666666668
6856,2015-06-13,18.616666666666667
6857,2015-06-13,17.825
6858,2015-06-13,16.203333333333333
6859,2015-06-13,15.765
6860,2015-06-13,15.05
6861,2015-06-13,14.811666666666667
6862,2015-06-13,14.33
6863,2015-06-13,13.955
7128,2015-06-25,14.166666666666666
7129,2015-06-25,13.586666666666666
7130,2015-06-25,12.848333333333334
7131,2015-06-25,12.408333333333331
7132,2015-06-25,12.206666666666663
7133,2015-06-25,12.72
7134,2015-06-25,14.558333333333332
7135,2015-06-25,16.565
7136,2015-06-25,20.281666666666663
7137,2015-06-25,23.30333333333333
7138,2015-06-25,25.661666666666665
7139,2015-06-25,27.54833333333333
7140,2015-06-25,29.095
7141,2015-06-25,30.16333333333333
7142,2015-06-25,30.098333333333333
7143,2015-06-25,29.08833333333333
7144,2015-06-25,28.74833333333333
7145,2015-06-25,28.21666666666667
7146,2015-06-25,27.171666666666667
7147,2015-06-25,24.546666666666667
7148,2015-06-25,21.88
7149,2015-06-25,20.683333333333334
7150,2015-06-25,19.58
7151,2015-06-25,18.96333333333333
7224,2015-06-29,18.593333333333334
7225,2015-06-29,18.68
7226,2015-06-29,18.65
7227,2015-06-29,18.563333333333333
7228,2015-06-29,18.37833333333333
7229,2015-06-29,18.56
7230,2015-06-29,18.976666666666667
7231,2015-06-29,19.405
7232,2015-06-29,20.356666666666666
7233,2015-06-29,21.211666666666662
7234,2015-06-29,23.106666666666666
7235,2015-06-29,24.77
7236,2015-06-29,26.263333333333332
7237,2015-06-29,27.79833333333333
7238,2015-06-29,29.111666666666668
7239,2015-06-29,28.576666666666668
7240,2015-06-29,27.94333333333333
7241,2015-06-29,27.316666666666663
7242,2015-06-29,26.555000000000003
7243,2015-06-29,24.50333333333333
7244,2015-06-29,22.62166666666667
7245,2015-06-29,21.566666666666663
7246,2015-06-29,20.988333333333333
7247,2015-06-29,19.941666666666663
7320,2015-07-03,17.555000000000003
7321,2015-07-03,17.621666666666666
7322,2015-07-03,17.599999999999998
7323,2015-07-03,17.523333333333333
7324,2015-07-03,17.606666666666666
7325,2015-07-03,17.778333333333332
7326,2015-07-03,18.62333333333333
7327,2015-07-03,20.12333333333333
7328,2015-07-03,24.58333333333333
7329,2015-07-03,28.375
7330,2015-07-03,30.276666666666667
7331,2015-07-03,32.39833333333333
7332,2015-07-03,33.02833333333333
7333,2015-07-03,34.056666666666665
7334,2015-07-03,34.858333333333334
7335,2015-07-03,36.105
7336,2015-07-03,35.52
7337,2015-07-03,26.078333333333333
7338,2015-07-03,22.82
7339,2015-07-03,21.118333333333336
