,date,temperature
15330,2011-08-31,20.076666666666668
15331,2011-08-31,18.23
15332,2011-08-31,21.048333333333336
15333,2011-08-31,21.826666666666668
15334,2011-08-31,22.301666666666662
15335,2011-08-31,21.216666666666665
15504,2011-09-08,15.593333333333334
15505,2011-09-08,15.008333333333333
15506,2011-09-08,14.808333333333332
15507,2011-09-08,14.646666666666668
15508,2011-09-08,14.38
15509,2011-09-08,14.198333333333332
15510,2011-09-08,15.045
15511,2011-09-08,18.925
15512,2011-09-08,21.24833333333333
15513,2011-09-08,21.631666666666664
15514,2011-09-08,22.361666666666668
15515,2011-09-08,23.06
15516,2011-09-08,
15517,2011-09-08,
15518,2011-09-08,
15519,2011-09-08,
15520,2011-09-08,
15521,2011-09-08,
15522,2011-09-08,
15523,2011-09-08,
15524,2011-09-08,
15525,2011-09-08,
15526,2011-09-08,
15527,2011-09-08,
15528,2011-09-09,
15529,2011-09-09,
15530,2011-09-09,
15531,2011-09-09,
15532,2011-09-09,
15533,2011-09-09,
15534,2011-09-09,15.211666666666668
15535,2011-09-09,19.20833333333333
15536,2011-09-09,24.856666666666666
15537,2011-09-09,26.106666666666666
15538,2011-09-09,26.83333333333333
15539,2011-09-09,28.975
15540,2011-09-09,31.84
15541,2011-09-09,33.66833333333333
15542,2011-09-09,34.288333333333334
15543,2011-09-09,34.04333333333333
15544,2011-09-09,31.743333333333336
15545,2011-09-09,29.4
15546,2011-09-09,24.69333333333333
15547,2011-09-09,22.7
15548,2011-09-09,23.2075
15549,2011-09-09,
15550,2011-09-09,
15551,2011-09-09,
15600,2011-09-12,
15601,2011-09-12,
15602,2011-09-12,
15603,2011-09-12,
15604,2011-09-12,
15605,2011-09-12,
15606,2011-09-12,15.6
15607,2011-09-12,19.423333333333336
15608,2011-09-12,22.45
15609,2011-09-12,22.035
15610,2011-09-12,
15611,2011-09-12,
15612,2011-09-12,
15613,2011-09-12,
15614,2011-09-12,
15615,2011-09-12,
15616,2011-09-12,
15617,2011-09-12,
15618,2011-09-12,
15619,2011-09-12,
15620,2011-09-12,
15621,2011-09-12,
15622,2011-09-12,
15623,2011-09-12,
15672,2011-09-15,
15673,2011-09-15,
15674,2011-09-15,
15675,2011-09-15,
15676,2011-09-15,
15677,2011-09-15,
15678,2011-09-15,
15679,2011-09-15,24.072
15680,2011-09-15,22.57333333333333
15681,2011-09-15,
15682,2011-09-15,
15683,2011-09-15,
15684,2011-09-15,
15685,2011-09-15,
15686,2011-09-15,
15687,2011-09-15,
15688,2011-09-15,
15689,2011-09-15,
15690,2011-09-15,
15691,2011-09-15,
15692,2011-09-15,
15693,2011-09-15,
15694,2011-09-15,
15695,2011-09-15,
15792,2011-09-20,12.458333333333334
15793,2011-09-20,12.055
15794,2011-09-20,11.893333333333333
15795,2011-09-20,11.518333333333333
15796,2011-09-20,12.02
15797,2011-09-20,12.525
15798,2011-09-20,13.058333333333335
15799,2011-09-20,15.058333333333332
15800,2011-09-20,17.391666666666666
15801,2011-09-20,18.441666666666663
15802,2011-09-20,19.091666666666665
15803,2011-09-20,19.801666666666662
15804,2011-09-20,20.986666666666668
15805,2011-09-20,21.42
15806,2011-09-20,21.535
15807,2011-09-20,21.746666666666663
15808,2011-09-20,20.586666666666662
15809,2011-09-20,19.523333333333333
15810,2011-09-20,16.425
15811,2011-09-20,14.763333333333334
15812,2011-09-20,13.798333333333334
15813,2011-09-20,13.171666666666669
15814,2011-09-20,12.976666666666668
15815,2011-09-20,12.821666666666667
15912,2011-09-25,13.676666666666668
15913,2011-09-25,13.521666666666668
15914,2011-09-25,13.758333333333333
15915,2011-09-25,13.463333333333331
15916,2011-09-25,13.306666666666668
15917,2011-09-25,13.981666666666667
15918,2011-09-25,15.62
15919,2011-09-25,17.533333333333335
15920,2011-09-25,18.73333333333333
15921,2011-09-25,19.975
15922,2011-09-25,21.831666666666667
15923,2011-09-25,23.59166666666667
15924,2011-09-25,22.861666666666665
15925,2011-09-25,21.425
15926,2011-09-25,20.27
15927,2011-09-25,20.558333333333334
15928,2011-09-25,19.965
15929,2011-09-25,19.885
15930,2011-09-25,16.403333333333332
15931,2011-09-25,15.37
15932,2011-09-25,15.005
15933,2011-09-25,15.276666666666666
15934,2011-09-25,15.473333333333334
15935,2011-09-25,14.841666666666669
15936,2011-09-26,14.686666666666667
15937,2011-09-26,14.663333333333334
15938,2011-09-26,15.051666666666668
15939,2011-09-26,15.446666666666667
15940,2011-09-26,15.808333333333332
15941,2011-09-26,15.725
15942,2011-09-26,15.855
15943,2011-09-26,20.14333333333333
15944,2011-09-26,23.24
15945,2011-09-26,25.0175
15946,2011-09-26,24.05333333333333
15947,2011-09-26,24.10833333333333
15948,2011-09-26,23.723333333333333
15949,2011-09-26,23.08666666666667
15950,2011-09-26,22.395
15951,2011-09-26,21.791666666666668
15952,2011-09-26,21.355
15953,2011-09-26,20.95
15954,2011-09-26,18.60333333333333
15955,2011-09-26,20.110000000000003
15956,2011-09-26,18.79833333333333
15957,2011-09-26,19.83333333333333
15958,2011-09-26,19.815
15959,2011-09-26,18.12333333333333
16008,2011-09-29,15.461666666666666
16009,2011-09-29,15.335
16010,2011-09-29,15.333333333333334
16011,2011-09-29,15.481666666666667
16012,2011-09-29,17.641666666666666
16013,2011-09-29,18.561666666666667
16014,2011-09-29,20.295
16015,2011-09-29,22.17
16016,2011-09-29,23.11
16017,2011-09-29,23.7
16018,2011-09-29,24.938333333333333
16019,2011-09-29,26.72
16020,2011-09-29,28.066666666666663
16021,2011-09-29,29.535
16022,2011-09-29,30.045
16023,2011-09-29,29.511666666666667
16024,2011-09-29,27.52
16025,2011-09-29,24.87
16026,2011-09-29,22.47
16027,2011-09-29,22.71666666666667
16028,2011-09-29,24.038333333333338
16029,2011-09-29,24.02833333333333
16030,2011-09-29,23.731666666666666
16031,2011-09-29,23.775
21912,2012-06-01,16.75
21913,2012-06-01,16.94
21914,2012-06-01,17.3
21915,2012-06-01,16.203333333333333
21916,2012-06-01,16.94666666666667
21917,2012-06-01,18.62333333333333
21918,2012-06-01,19.686666666666667
21919,2012-06-01,20.316666666666663
21920,2012-06-01,20.995
21921,2012-06-01,23.15833333333333
21922,2012-06-01,25.62833333333333
21923,2012-06-01,27.820000000000004
21924,2012-06-01,29.305
21925,2012-06-01,29.83666666666667
21926,2012-06-01,29.511666666666667
21927,2012-06-01,29.795
21928,2012-06-01,29.17833333333333
21929,2012-06-01,27.41333333333333
21930,2012-06-01,24.078333333333333
21931,2012-06-01,22.91
21932,2012-06-01,25.315
21933,2012-06-01,23.665000000000003
21934,2012-06-01,21.65
21935,2012-06-01,23.72
22008,2012-06-05,12.278333333333334
22009,2012-06-05,11.663333333333334
22010,2012-06-05,11.591666666666669
22011,2012-06-05,12.096666666666666
22012,2012-06-05,14.288333333333334
22013,2012-06-05,16.753333333333334
22014,2012-06-05,17.99833333333333
22015,2012-06-05,19.376666666666665
22016,2012-06-05,19.686666666666667
22017,2012-06-05,20.87833333333333
22018,2012-06-05,21.96166666666667
22019,2012-06-05,21.271666666666665
22020,2012-06-05,20.508333333333333
22021,2012-06-05,20.75166666666667
22022,2012-06-05,20.848333333333333
22023,2012-06-05,21.481666666666666
22024,2012-06-05,21.78833333333333
22025,2012-06-05,20.61
22026,2012-06-05,19.021666666666665
22027,2012-06-05,16.94333333333333
22028,2012-06-05,16.19
22029,2012-06-05,16.44
22030,2012-06-05,16.255
22031,2012-06-05,15.848333333333334
22032,2012-06-06,14.716666666666669
22033,2012-06-06,14.541666666666666
22034,2012-06-06,14.77
22035,2012-06-06,14.546666666666669
22036,2012-06-06,14.748333333333331
22037,2012-06-06,14.885
22038,2012-06-06,15.528333333333334
22039,2012-06-06,16.533333333333335
22040,2012-06-06,18.1
22041,2012-06-06,19.08666666666667
22042,2012-06-06,19.146666666666665
22043,2012-06-06,19.12666666666667
22044,2012-06-06,19.72
22045,2012-06-06,19.95
22046,2012-06-06,18.495
22047,2012-06-06,19.03
22048,2012-06-06,19.286666666666665
22049,2012-06-06,18.96333333333333
22050,2012-06-06,18.75166666666667
22051,2012-06-06,18.176666666666662
22052,2012-06-06,17.576666666666664
22053,2012-06-06,21.06833333333333
22054,2012-06-06,23.805
22055,2012-06-06,23.85833333333333
22104,2012-06-09,11.783333333333331
22105,2012-06-09,10.763333333333334
22106,2012-06-09,9.836666666666668
22107,2012-06-09,9.841666666666669
22108,2012-06-09,10.455
22109,2012-06-09,11.275
22110,2012-06-09,12.073333333333332
22111,2012-06-09,13.323333333333332
22112,2012-06-09,13.785000000000002
22113,2012-06-09,14.836666666666666
